2015-02-18 12:49:28 install findutils:armhf <none> 4.4.2-9
2015-02-18 12:49:28 status half-installed findutils:armhf 4.4.2-9
2015-02-18 12:49:30 status unpacked findutils:armhf 4.4.2-9
2015-02-18 12:49:30 status unpacked findutils:armhf 4.4.2-9
2015-02-18 12:49:31 install gcc-4.9-base:armhf <none> 4.9.1-16ubuntu6
2015-02-18 12:49:31 status half-installed gcc-4.9-base:armhf 4.9.1-16ubuntu6
2015-02-18 12:49:32 status unpacked gcc-4.9-base:armhf 4.9.1-16ubuntu6
2015-02-18 12:49:32 status unpacked gcc-4.9-base:armhf 4.9.1-16ubuntu6
2015-02-18 12:49:33 install grep:armhf <none> 2.20-3
2015-02-18 12:49:33 status half-installed grep:armhf 2.20-3
2015-02-18 12:49:34 status unpacked grep:armhf 2.20-3
2015-02-18 12:49:35 status unpacked grep:armhf 2.20-3
2015-02-18 12:49:36 install gzip:armhf <none> 1.6-3ubuntu1
2015-02-18 12:49:36 status half-installed gzip:armhf 1.6-3ubuntu1
2015-02-18 12:49:37 status unpacked gzip:armhf 1.6-3ubuntu1
2015-02-18 12:49:37 status unpacked gzip:armhf 1.6-3ubuntu1
2015-02-18 12:49:39 install hostname:armhf <none> 3.15ubuntu2
2015-02-18 12:49:39 status half-installed hostname:armhf 3.15ubuntu2
2015-02-18 12:49:40 status unpacked hostname:armhf 3.15ubuntu2
2015-02-18 12:49:40 status unpacked hostname:armhf 3.15ubuntu2
2015-02-18 12:49:41 install ifupdown:armhf <none> 0.7.48.1ubuntu5
2015-02-18 12:49:41 status half-installed ifupdown:armhf 0.7.48.1ubuntu5
2015-02-18 12:49:43 status unpacked ifupdown:armhf 0.7.48.1ubuntu5
2015-02-18 12:49:43 status unpacked ifupdown:armhf 0.7.48.1ubuntu5
2015-02-18 12:49:44 install init-system-helpers:all <none> 1.20ubuntu3
2015-02-18 12:49:44 status half-installed init-system-helpers:all 1.20ubuntu3
2015-02-18 12:49:45 status unpacked init-system-helpers:all 1.20ubuntu3
2015-02-18 12:49:45 status unpacked init-system-helpers:all 1.20ubuntu3
2015-02-18 12:49:47 install initramfs-tools:all <none> 0.103ubuntu8
2015-02-18 12:49:47 status half-installed initramfs-tools:all 0.103ubuntu8
2015-02-18 12:49:49 status unpacked initramfs-tools:all 0.103ubuntu8
2015-02-18 12:49:49 status unpacked initramfs-tools:all 0.103ubuntu8
2015-02-18 12:49:50 install initramfs-tools-bin:armhf <none> 0.103ubuntu8
2015-02-18 12:49:50 status half-installed initramfs-tools-bin:armhf 0.103ubuntu8
2015-02-18 12:49:51 status unpacked initramfs-tools-bin:armhf 0.103ubuntu8
2015-02-18 12:49:51 status unpacked initramfs-tools-bin:armhf 0.103ubuntu8
2015-02-18 12:49:53 install initscripts:armhf <none> 2.88dsf-41ubuntu18
2015-02-18 12:49:53 status half-installed initscripts:armhf 2.88dsf-41ubuntu18
2015-02-18 12:49:55 status unpacked initscripts:armhf 2.88dsf-41ubuntu18
2015-02-18 12:49:55 status unpacked initscripts:armhf 2.88dsf-41ubuntu18
2015-02-18 12:49:56 install insserv:armhf <none> 1.14.0-5ubuntu2
2015-02-18 12:49:56 status half-installed insserv:armhf 1.14.0-5ubuntu2
2015-02-18 12:49:57 status unpacked insserv:armhf 1.14.0-5ubuntu2
2015-02-18 12:49:57 status unpacked insserv:armhf 1.14.0-5ubuntu2
2015-02-18 12:49:58 install iproute2:armhf <none> 3.16.0-2
2015-02-18 12:49:58 status half-installed iproute2:armhf 3.16.0-2
2015-02-18 12:50:01 status unpacked iproute2:armhf 3.16.0-2
2015-02-18 12:50:01 status unpacked iproute2:armhf 3.16.0-2
2015-02-18 12:50:02 install klibc-utils:armhf <none> 2.0.3-0ubuntu1
2015-02-18 12:50:02 status half-installed klibc-utils:armhf 2.0.3-0ubuntu1
2015-02-18 12:50:03 status unpacked klibc-utils:armhf 2.0.3-0ubuntu1
2015-02-18 12:50:04 status unpacked klibc-utils:armhf 2.0.3-0ubuntu1
2015-02-18 12:50:05 install kmod:armhf <none> 18-1ubuntu2
2015-02-18 12:50:05 status half-installed kmod:armhf 18-1ubuntu2
2015-02-18 12:50:06 status unpacked kmod:armhf 18-1ubuntu2
2015-02-18 12:50:07 status unpacked kmod:armhf 18-1ubuntu2
2015-02-18 12:50:08 install libacl1:armhf <none> 2.2.52-1.1
